Field ID,Description,Category,Unnamed: 3
29033,Lifetime number of depressed periods,Depression,
29055,Lifetime number of manic or irritable periods,Mood changes,
29066,Lifetime number of panic attacks,Anxiety and panic,
29071,Lifetime number of periods of worry lasting one month or more,Anxiety and panic,
3669,Lifetime number of same-sex sexual partners,Sexual factors,
2149,Lifetime number of sexual partners,Sexual factors,
24604,Longest Continuous Analysable Period,Cardiac monitoring phase 2,#
4609,Longest period of depression,Mental health,
5375,Longest period of unenthusiasm / disinterest,Mental health,
20420,Longest period spent worried or anxious,Anxiety,
29125,Lowest weight during period when underweight,Eating patterns,
23028,MC VP1 antigen for Merkel Cell Polyomavirus,Infectious Disease Antigens,
4282,Maximum digits remembered correctly,Numeric memory,
20240,Maximum digits remembered correctly,Numeric memory,
6033,Maximum heart rate during fitness test,ECG during exercise,
90186,Maximum readings exceeding +/-8 gravities after calibration in a 5 second epoch,Raw accelerometer statistics,
90184,Maximum readings exceeding +/-8 gravities before calibration in a 5 second epoch,Raw accelerometer statistics,
6032,Maximum workload during fitness test,ECG during exercise,
12687,Mean arterial pressure during PWA,Pulse wave analysis,
20023,Mean time to correctly identify matches,Reaction time,
21633,Measurement/Impedance duration (pilot),Process durations,
7519,Median cylinder axis (left),Refractometer 2,
7497,Median cylinder axis (right),Refractometer 2,
21105,Mg concentration,Water minerals,
2355,Most recent bowel cancer screening,Cancer screening,
41286,Mother age on date of delivery,Summary Maternity,
1845,Mother's age,Family history,
3526,Mother's age at death,Family history,
118,Mother's day of birth,Early life factors,#
120119,Motivation is lower when fatigued,Experience of pain,
23019,NS3 antigen for Hepatitis C Virus,Infectious Disease Antigens,
120025,Neck or shoulder pain in last three months and rating of pain,Experience of pain,
20127,Neuroticism score,Mental health,
90086,Non wear episodes over 1 hour duration,Accelerometer wear time duration,
87,Non-cancer illness year/age first occurred,Medical conditions,
709,Number in household,Household,
26568,Number of HolesBeforeFixing (left hemisphere),Freesurfer ASEG,
26599,Number of HolesBeforeFixing (right hemisphere),Freesurfer ASEG,
12699,Number of PWA tests performed,Pulse wave analysis,
3972,Number of adopted brothers,Family history,
3982,Number of adopted sisters,Family history,
6671,Number of antibiotics taken in last 3 months,Medications,
4291,Number of attempts,Prospective memory,
12654,Number of automated diagnostic comments recorded during 12-lead ECG,"ECG at rest, 12-lead",
68,Number of blood samples taken,Blood sample collection,
2405,Number of children fathered,Male-specific factors,
3456,Number of cigarettes currently smoked daily (current cigarette smokers),Smoking,
2887,Number of cigarettes previously smoked daily,Smoking,
6183,Number of cigarettes previously smoked daily (current cigar/pipe smokers),Smoking,
396,Number of columns displayed in round,Pairs matching,
398,Number of correct matches in round,Pairs matching,
20131,Number of correct matches in round,Pairs matching,
10136,Number of correct matches in round (pilot),Pairs matching,
25746,Number of dMRI outlier slices detected and corrected,Diffusion brain MRI,
120070,"Number of days in the last 3 months headaches interfered with ability to work, study or enjoy life",Experience of pain,
120054,Number of days with headache in past three months,Experience of pain,
884,Number of days/week of moderate physical activity 10+ minutes,Physical activity,
904,Number of days/week of vigorous physical activity 10+ minutes,Physical activity,
864,Number of days/week walked 10+ minutes,Physical activity,
4620,Number of depression episodes,Mental health,
20077,Number of diet questionnaires completed,Diet questionnaire performance,
